id,class,split,early_mean,early_trend,pairwise_correlation,branch_dispersion,late_mean
independent_000,independent,train,0.03855324074074074,0.0008101851851851846,-0.00017377003784572963,0.0021650325726901495,0.038148148148148146
independent_001,independent,train,0.029965277777777778,-0.00048611111111111077,0.0004038106281829855,0.0015774320799119218,0.030636574074074073
independent_002,independent,train,0.039189814814814816,-0.0028703703703703703,0.001107366221524846,0.001793496051409022,0.037083333333333336
independent_003,independent,train,0.04131944444444444,-0.00023148148148148529,0.0015499972098621721,0.0022872197782742585,0.04258101851851852
independent_004,independent,test,0.031516203703703706,0.0009490740740740779,0.0009577120370306758,0.0012610430414815876,0.0362962962962963
independent_005,independent,train,0.01920138888888889,0.0003009259259259267,-7.82128656904231e-05,0.0013345364138854668,0.01934027777777778
independent_006,independent,train,0.0419212962962963,-0.0005092592592592649,-0.0016960715730858905,0.0008781054045551236,0.038738425925925926
independent_007,independent,train,0.030416666666666668,0.0003703703703703716,-0.0018993107327595737,0.0019133313259047987,0.029652777777777778
independent_008,independent,train,0.01880787037037037,-0.0004398148148148165,0.0004063088062747337,0.0010802400242284722,0.01972222222222222
independent_009,independent,test,0.04355324074074074,0.0015509259259259278,0.0011178954055908118,0.001636780331703799,0.04472222222222222
independent_010,independent,train,0.04134259259259259,0.003703703703703702,-0.00016040393291025728,0.0014179067436216261,0.045752314814814815
independent_011,independent,test,0.029444444444444443,0.002175925925925925,-0.001059094419714676,0.001131184418784316,0.03119212962962963
independent_012,independent,test,0.026608796296296297,0.0016435185185185198,0.0011671520382781908,0.0020448804700596256,0.02508101851851852
independent_013,independent,train,0.02263888888888889,0.0,-0.0023086968677292438,0.0011857637476727502,0.020902777777777777
independent_014,independent,test,0.04324074074074074,0.003518518518518518,-0.0010993194932630262,0.0016769231737291518,0.04704861111111111
independent_015,independent,train,0.02172453703703704,0.0014120370370370346,-0.0012113880943242657,0.0014246458148865636,0.022962962962962963
independent_016,independent,train,0.04483796296296296,0.0009259259259259273,-0.0012571513048075865,0.0020411101954338423,0.04770833333333333
independent_017,independent,train,0.037002314814814814,-0.0003009259259259267,-0.0011222666115345468,0.0011358525279997896,0.03916666666666667
independent_018,independent,test,0.033761574074074076,0.0039583333333333345,-0.00022489727185413653,0.0017977856917183014,0.03809027777777778
independent_019,independent,train,0.035451388888888886,0.00011574074074074264,0.0013904049697573227,0.0016772027441321912,0.03974537037037037
independent_020,independent,train,0.03408564814814815,0.000347222222222221,0.0007660754853903144,0.0019736765959892113,0.03643518518518519
independent_021,independent,train,0.043611111111111114,0.004537037037037041,0.0019052580262264277,0.00237062353972076,0.04984953703703704
independent_022,independent,train,0.03622685185185185,-0.0018055555555555533,0.002625241283366857,0.0009818199102059498,0.03841435185185185
independent_023,independent,train,0.01806712962962963,0.00034722222222222446,0.002581560446198806,0.0008946542149155267,0.020196759259259258
independent_024,independent,train,0.023252314814814816,-0.0009953703703703722,-1.0329557505498071e-05,0.0016572764664808232,0.020636574074074075
independent_025,independent,train,0.0453125,0.003865740740740739,-9.617515030702101e-05,0.0017185453956032033,0.05009259259259259
independent_026,independent,train,0.03353009259259259,0.0010879629629629642,-0.001294105817238374,0.0016669479572297653,0.036875
independent_027,independent,test,0.03377314814814815,-0.0007407407407407363,0.0006569974639130126,0.0012446300980342654,0.03090277777777778
independent_028,independent,train,0.03208333333333333,-0.0005555555555555591,-0.0009816993320890242,0.0014141226249353009,0.03480324074074074
independent_029,independent,train,0.021875,0.0005092592592592614,-0.0016919701345676707,0.0012727272031380803,0.025613425925925925
independent_030,independent,test,0.02349537037037037,-0.001851851851851851,-0.0004972970740761052,0.001366917258467095,0.021574074074074075
independent_031,independent,test,0.03753472222222222,0.004004629629629629,-0.0038203639700513403,0.0017792103964325483,0.04234953703703704
independent_032,independent,train,0.02417824074074074,0.0003009259259259267,-0.0004381952248045176,0.0014687221818280305,0.026296296296296297
independent_033,independent,train,0.021689814814814815,9.25925925925955e-05,0.0016193637486005478,0.0011891481054667888,0.01912037037037037
independent_034,independent,train,0.026018518518518517,0.0005092592592592614,-0.0011937276439609073,0.0016640926625566142,0.027962962962962964
independent_035,independent,train,0.01699074074074074,0.0,-0.001310830581280019,0.0012248848662336066,0.018645833333333334
independent_036,independent,train,0.025532407407407406,-0.001666666666666667,-0.00021498443917035084,0.001392549189138429,0.023564814814814816
independent_037,independent,test,0.03153935185185185,0.0014120370370370346,-0.00013241774533700044,0.0024728192769815993,0.03262731481481482
independent_038,independent,train,0.0215625,0.001134259259259262,0.0015096657051609237,0.0017631763774304228,0.026238425925925925
independent_039,independent,test,0.02340277777777778,0.0016203703703703727,0.0026159128884596363,0.0013463787610385064,0.027280092592592592
independent_040,independent,train,0.01712962962962963,-0.00314814814814815,0.001824918554139744,0.0009897017743718496,0.017083333333333332
independent_041,independent,test,0.04065972222222222,-0.002476851851851855,-0.0020593548756122544,0.0025001875358330026,0.03832175925925926
independent_042,independent,test,0.021643518518518517,0.0029629629629629624,0.0008874301496683456,0.0008805428982226959,0.022037037037037036
independent_043,independent,test,0.03263888888888889,0.0012500000000000011,0.0028730493047362166,0.0018582066889249523,0.0340625
independent_044,independent,train,0.025497685185185186,0.0012731481481481483,0.00023672781112960096,0.0012770877598792768,0.028599537037037038
independent_045,independent,train,0.02431712962962963,0.00224537037037037,3.5638351042620015e-05,0.001464703532669509,0.0284375
independent_046,independent,test,0.0325,0.003935185185185184,0.0014965925756055052,0.002241429340168557,0.036041666666666666
independent_047,independent,train,0.015150462962962963,0.0009490740740740744,-0.000705201043179891,0.0007910267881871193,0.016041666666666666
independent_048,independent,train,0.014641203703703703,0.0009953703703703704,-0.0010316301937707709,0.0010459659221119387,0.014328703703703703
independent_049,independent,train,0.03729166666666667,-0.0008333333333333387,-0.00012596855650024444,0.0016958289729067007,0.036828703703703704
independent_050,independent,test,0.02125,0.0015277777777777772,0.0007841023846037698,0.0022280017436140673,0.026574074074074073
independent_051,independent,train,0.03501157407407408,0.00011574074074074264,0.0039217541824125785,0.001183445536760085,0.03891203703703704
independent_052,independent,train,0.038078703703703705,0.0028703703703703703,-0.0006470307813164524,0.0012411811683754183,0.042430555555555555
